"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Unidade da Federação";"Produto das lavouras temporárias e permanentes";"Ano";"Variável";""
"Ceará";"Goiaba";"2017";"Valor da produção (Mil Reais)";"27045"
"Ceará";"Goiaba";"2018";"Valor da produção (Mil Reais)";"27481"
"Ceará";"Goiaba";"2019";"Valor da produção (Mil Reais)";"33175"
"Ceará";"Goiaba";"2020";"Valor da produção (Mil Reais)";"35820"
"Ceará";"Guaraná (semente)";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Guaraná (semente)";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Guaraná (semente)";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Guaraná (semente)";"2019";"Valor da produção (Mil Reais)";"-"
"Ceará";"Guaraná (semente)";"2020";"Valor da produção (Mil Reais)";"-"
"Ceará";"Juta (fibra)";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Juta (fibra)";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Juta (fibra)";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Juta (fibra)";"2019";"Valor da produção (Mil Reais)";"-"
"Ceará";"Juta (fibra)";"2020";"Valor da produção (Mil Reais)";"-"
"Ceará";"Laranja";"2016";"Valor da produção (Mil Reais)";"5590"
"Ceará";"Laranja";"2017";"Valor da produção (Mil Reais)";"8250"
"Ceará";"Laranja";"2018";"Valor da produção (Mil Reais)";"8526"
"Ceará";"Laranja";"2019";"Valor da produção (Mil Reais)";"8186"
"Ceará";"Laranja";"2020";"Valor da produção (Mil Reais)";"10577"
"Ceará";"Limão";"2016";"Valor da produção (Mil Reais)";"7136"
"Ceará";"Limão";"2017";"Valor da produção (Mil Reais)";"7606"
"Ceará";"Limão";"2018";"Valor da produção (Mil Reais)";"11669"
"Ceará";"Limão";"2019";"Valor da produção (Mil Reais)";"21153"
"Ceará";"Limão";"2020";"Valor da produção (Mil Reais)";"35637"
"Ceará";"Linho (semente)";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Linho (semente)";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Linho (semente)";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Linho (semente)";"2019";"Valor da produção (Mil Reais)";"-"
"Ceará";"Linho (semente)";"2020";"Valor da produção (Mil Reais)";"-"
"Ceará";"Maçã";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Maçã";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Maçã";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Maçã";"2019";"Valor da produção (Mil Reais)";"-"
"Ceará";"Maçã";"2020";"Valor da produção (Mil Reais)";"-"
"Ceará";"Malva (fibra)";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Malva (fibra)";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Malva (fibra)";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Malva (fibra)";"2019";"Valor da produção (Mil Reais)";"-"
"Ceará";"Malva (fibra)";"2020";"Valor da produção (Mil Reais)";"-"
"Ceará";"Mamão";"2016";"Valor da produção (Mil Reais)";"78402"
"Ceará";"Mamão";"2017";"Valor da produção (Mil Reais)";"97742"
"Ceará";"Mamão";"2018";"Valor da produção (Mil Reais)";"79930"
"Ceará";"Mamão";"2019";"Valor da produção (Mil Reais)";"108212"
"Ceará";"Mamão";"2020";"Valor da produção (Mil Reais)";"149006"
"Ceará";"Mamona (baga)";"2016";"Valor da produção (Mil Reais)";"1053"
"Ceará";"Mamona (baga)";"2017";"Valor da produção (Mil Reais)";"491"
"Ceará";"Mamona (baga)";"2018";"Valor da produção (Mil Reais)";"216"
"Ceará";"Mamona (baga)";"2019";"Valor da produção (Mil Reais)";"597"
"Ceará";"Mamona (baga)";"2020";"Valor da produção (Mil Reais)";"264"
"Ceará";"Mandioca";"2016";"Valor da produção (Mil Reais)";"162186"
"Ceará";"Mandioca";"2017";"Valor da produção (Mil Reais)";"215080"
"Ceará";"Mandioca";"2018";"Valor da produção (Mil Reais)";"220919"
"Ceará";"Mandioca";"2019";"Valor da produção (Mil Reais)";"193041"
"Ceará";"Mandioca";"2020";"Valor da produção (Mil Reais)";"245514"
"Ceará";"Manga";"2016";"Valor da produção (Mil Reais)";"33442"
"Ceará";"Manga";"2017";"Valor da produção (Mil Reais)";"37465"
"Ceará";"Manga";"2018";"Valor da produção (Mil Reais)";"31055"
"Ceará";"Manga";"2019";"Valor da produção (Mil Reais)";"35008"
"Ceará";"Manga";"2020";"Valor da produção (Mil Reais)";"40585"
"Ceará";"Maracujá";"2016";"Valor da produção (Mil Reais)";"150498"
"Ceará";"Maracujá";"2017";"Valor da produção (Mil Reais)";"161246"
"Ceará";"Maracujá";"2018";"Valor da produção (Mil Reais)";"246332"
"Ceará";"Maracujá";"2019";"Valor da produção (Mil Reais)";"326099"
"Ceará";"Maracujá";"2020";"Valor da produção (Mil Reais)";"390464"
"Ceará";"Marmelo";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Marmelo";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Marmelo";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Marmelo";"2019";"Valor da produção (Mil Reais)";"-"
"Ceará";"Marmelo";"2020";"Valor da produção (Mil Reais)";"-"
"Ceará";"Melancia";"2016";"Valor da produção (Mil Reais)";"20771"
"Ceará";"Melancia";"2017";"Valor da produção (Mil Reais)";"17371"
"Ceará";"Melancia";"2018";"Valor da produção (Mil Reais)";"23478"
"Ceará";"Melancia";"2019";"Valor da produção (Mil Reais)";"32209"
"Ceará";"Melancia";"2020";"Valor da produção (Mil Reais)";"37197"
"Ceará";"Melão";"2016";"Valor da produção (Mil Reais)";"103254"
"Ceará";"Melão";"2017";"Valor da produção (Mil Reais)";"62069"
"Ceará";"Melão";"2018";"Valor da produção (Mil Reais)";"80715"
"Ceará";"Melão";"2019";"Valor da produção (Mil Reais)";"62257"
"Ceará";"Melão";"2020";"Valor da produção (Mil Reais)";"68262"
"Ceará";"Milho (em grão)";"2016";"Valor da produção (Mil Reais)";"105531"
"Ceará";"Milho (em grão)";"2017";"Valor da produção (Mil Reais)";"233241"
"Ceará";"Milho (em grão)";"2018";"Valor da produção (Mil Reais)";"292315"
"Ceará";"Milho (em grão)";"2019";"Valor da produção (Mil Reais)";"301754"
"Ceará";"Milho (em grão)";"2020";"Valor da produção (Mil Reais)";"530482"
"Ceará";"Noz (fruto seco)";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Noz (fruto seco)";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Noz (fruto seco)";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Noz (fruto seco)";"2019";"Valor da produção (Mil Reais)";"-"
"Ceará";"Noz (fruto seco)";"2020";"Valor da produção (Mil Reais)";"-"
"Ceará";"Palmito";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Palmito";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Palmito";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Palmito";"2019";"Valor da produção (Mil Reais)";"-"
"Ceará";"Palmito";"2020";"Valor da produção (Mil Reais)";"-"
"Ceará";"Pera";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Pera";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Pera";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Pera";"2019";"Valor da produção (Mil Reais)";"-"
"Ceará";"Pera";"2020";"Valor da produção (Mil Reais)";"-"
"Ceará";"Pêssego";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Pêssego";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Pêssego";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Pêssego";"2019";"Valor da produção (Mil Reais)";"-"
"Ceará";"Pêssego";"2020";"Valor da produção (Mil Reais)";"-"
"Ceará";"Pimenta-do-reino";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Pimenta-do-reino";"2017";"Valor da produção (Mil Reais)";"35"
"Ceará";"Pimenta-do-reino";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Pimenta-do-reino";"2019";"Valor da produção (Mil Reais)";"-"
"Ceará";"Pimenta-do-reino";"2020";"Valor da produção (Mil Reais)";"-"
"Ceará";"Rami (fibra)";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Rami (fibra)";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Rami (fibra)";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Rami (fibra)";"2019";"Valor da produção (Mil Reais)";"-"
"Ceará";"Rami (fibra)";"2020";"Valor da produção (Mil Reais)";"-"
"Ceará";"Sisal ou agave (fibra)";"2016";"Valor da produção (Mil Reais)";"113"
"Ceará";"Sisal ou agave (fibra)";"2017";"Valor da produção (Mil Reais)";"120"
"Ceará";"Sisal ou agave (fibra)";"2018";"Valor da produção (Mil Reais)";"402"
"Ceará";"Sisal ou agave (fibra)";"2019";"Valor da produção (Mil Reais)";"406"
"Ceará";"Sisal ou agave (fibra)";"2020";"Valor da produção (Mil Reais)";"424"
"Ceará";"Soja (em grão)";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Soja (em grão)";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Soja (em grão)";"2018";"Valor da produção (Mil Reais)";"222"
"Ceará";"Soja (em grão)";"2019";"Valor da produção (Mil Reais)";"-"
"Ceará";"Soja (em grão)";"2020";"Valor da produção (Mil Reais)";"2295"
"Ceará";"Sorgo (em grão)";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Sorgo (em grão)";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Sorgo (em grão)";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Sorgo (em grão)";"2019";"Valor da produção (Mil Reais)";"560"
"Ceará";"Sorgo (em grão)";"2020";"Valor da produção (Mil Reais)";"2100"
"Ceará";"Tangerina";"2016";"Valor da produção (Mil Reais)";"1064"
"Ceará";"Tangerina";"2017";"Valor da produção (Mil Reais)";"1371"
