"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Município";"Produto das lavouras temporárias e permanentes";"Ano";"Variável";""
"Acopiara (CE)";"Erva-mate (folha verde)";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Ervilha (em grão)";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Ervilha (em grão)";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Ervilha (em grão)";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Ervilha (em grão)";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Ervilha (em grão)";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Fava (em grão)";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Fava (em grão)";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Fava (em grão)";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Fava (em grão)";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Fava (em grão)";"2020";"Valor da produção (Mil Reais)";"12"
"Acopiara (CE)";"Feijão (em grão)";"2016";"Valor da produção (Mil Reais)";"4028"
"Acopiara (CE)";"Feijão (em grão)";"2017";"Valor da produção (Mil Reais)";"2210"
"Acopiara (CE)";"Feijão (em grão)";"2018";"Valor da produção (Mil Reais)";"1863"
"Acopiara (CE)";"Feijão (em grão)";"2019";"Valor da produção (Mil Reais)";"3616"
"Acopiara (CE)";"Feijão (em grão)";"2020";"Valor da produção (Mil Reais)";"6850"
"Acopiara (CE)";"Figo";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Figo";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Figo";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Figo";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Figo";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Fumo (em folha)";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Fumo (em folha)";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Fumo (em folha)";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Fumo (em folha)";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Fumo (em folha)";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Girassol (em grão)";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Girassol (em grão)";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Girassol (em grão)";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Girassol (em grão)";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Girassol (em grão)";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Goiaba";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Goiaba";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Goiaba";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Goiaba";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Goiaba";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Guaraná (semente)";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Guaraná (semente)";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Guaraná (semente)";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Guaraná (semente)";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Guaraná (semente)";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Juta (fibra)";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Juta (fibra)";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Juta (fibra)";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Juta (fibra)";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Juta (fibra)";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Laranja";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Laranja";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Laranja";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Laranja";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Laranja";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Limão";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Limão";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Limão";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Limão";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Limão";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Linho (semente)";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Linho (semente)";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Linho (semente)";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Linho (semente)";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Linho (semente)";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Maçã";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Maçã";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Maçã";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Maçã";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Maçã";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Malva (fibra)";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Malva (fibra)";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Malva (fibra)";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Malva (fibra)";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Malva (fibra)";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Mamão";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Mamão";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Mamão";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Mamão";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Mamão";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Mamona (baga)";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Mamona (baga)";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Mamona (baga)";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Mamona (baga)";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Mamona (baga)";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Mandioca";"2016";"Valor da produção (Mil Reais)";"37"
"Acopiara (CE)";"Mandioca";"2017";"Valor da produção (Mil Reais)";"22"
"Acopiara (CE)";"Mandioca";"2018";"Valor da produção (Mil Reais)";"41"
"Acopiara (CE)";"Mandioca";"2019";"Valor da produção (Mil Reais)";"28"
"Acopiara (CE)";"Mandioca";"2020";"Valor da produção (Mil Reais)";"134"
"Acopiara (CE)";"Manga";"2016";"Valor da produção (Mil Reais)";"60"
"Acopiara (CE)";"Manga";"2017";"Valor da produção (Mil Reais)";"33"
"Acopiara (CE)";"Manga";"2018";"Valor da produção (Mil Reais)";"62"
"Acopiara (CE)";"Manga";"2019";"Valor da produção (Mil Reais)";"77"
"Acopiara (CE)";"Manga";"2020";"Valor da produção (Mil Reais)";"67"
"Acopiara (CE)";"Maracujá";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Maracujá";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Maracujá";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Maracujá";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Maracujá";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Marmelo";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Marmelo";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Marmelo";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Marmelo";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Marmelo";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Melancia";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Melancia";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Melancia";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Melancia";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Melancia";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Melão";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Melão";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Melão";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Melão";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Melão";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Milho (em grão)";"2016";"Valor da produção (Mil Reais)";"1200"
"Acopiara (CE)";"Milho (em grão)";"2017";"Valor da produção (Mil Reais)";"1832"
"Acopiara (CE)";"Milho (em grão)";"2018";"Valor da produção (Mil Reais)";"3694"
"Acopiara (CE)";"Milho (em grão)";"2019";"Valor da produção (Mil Reais)";"3164"
"Acopiara (CE)";"Milho (em grão)";"2020";"Valor da produção (Mil Reais)";"8686"
"Acopiara (CE)";"Noz (fruto seco)";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Noz (fruto seco)";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Noz (fruto seco)";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Noz (fruto seco)";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Noz (fruto seco)";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Palmito";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Palmito";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Palmito";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Palmito";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Palmito";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Pera";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Pera";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Pera";"2018";"Valor da produção (Mil Reais)";"-"
